X,Y,index,index_target,acres,shape_area,label,shape_leng,nbrdesc,color_2,nonres_status
-76.5508432677595,39.1976851393443,162,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5498483715847,39.1976851393443,163,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5538279562842,39.1986414180328,341,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5528330601093,39.1986414180328,342,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5518381639344,39.1986414180328,343,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5508432677595,39.1986414180328,344,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5498483715847,39.1986414180328,345,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5488534754098,39.1986414180328,346,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.547858579235,39.1986414180328,347,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5568126448087,39.1995976967213,520,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5558177486339,39.1995976967213,521,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.554822852459,39.1995976967213,522,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5538279562842,39.1995976967213,523,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5528330601093,39.1995976967213,524,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5518381639344,39.1995976967213,525,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5508432677595,39.1995976967213,526,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5498483715847,39.1995976967213,527,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5488534754098,39.1995976967213,528,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.547858579235,39.1995976967213,529,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5468636830601,39.1995976967213,530,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5597973333333,39.2005539754098,699,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5588024371585,39.2005539754098,700,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5578075409836,39.2005539754098,701,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5568126448087,39.2005539754098,702,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5558177486339,39.2005539754098,703,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.554822852459,39.2005539754098,704,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5538279562842,39.2005539754098,705,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5528330601093,39.2005539754098,706,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5518381639344,39.2005539754098,707,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5508432677595,39.2005539754098,708,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5498483715847,39.2005539754098,709,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5488534754098,39.2005539754098,710,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.547858579235,39.2005539754098,711,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
