nbrdesc,nonres_status
ABELL,0
ALLENDALE,0
ARCADIA,0
ARLINGTON,0
ARMISTEAD GARDENS,0
ASHBURTON,0
BALTIMORE HIGHLANDS,0
PATTERSON PARK NEIGHBORHOOD,0
BARCLAY,0
BARRE CIRCLE,0
BEECHFIELD,0
BELAIR-PARKSIDE,0
BELLONA-GITTINGS,0
BLYTHEWOOD,0
BEREA,0
BETTER WAVERLY,0
BEVERLY HILLS,0
BIDDLE STREET,0
BOLTON HILL,0
BOYD-BOOTH,0
BREWERS HILL,0
BRIDGEVIEW/GREENLAWN,0
BURLEITH-LEIGHTON,0
BROADWAY EAST,0
BROENING MANOR,0
BUTCHER'S HILL,0
CALLAWAY-GARRISON,0
MOUNT WINANS,0
BROOKLYN,0
MT PLEASANT PARK,1
CAMERON VILLAGE,0
CANTON,0
CANTON INDUSTRIAL AREA,1
CARROLL - CAMDEN INDUSTRIAL AREA,1
CARROLL PARK,1
CARROLL-SOUTH HILTON,0
CARROLLTON RIDGE,0
CEDARCROFT,0
CEDMONT,0
CEDONIA,0
CENTRAL FOREST PARK,0
COPPIN HEIGHTS/ASH-CO-EAST,0
CENTRAL PARK HEIGHTS,0
CHARLES NORTH,0
DORCHESTER,0
CHERRY HILL,0
EASTERWOOD,0
EASTWOOD,0
CHESWOLDE,0
CHINQUAPIN PARK,0
CROSS COUNTRY,0
ORCHARD RIDGE,0
CLIFTON PARK,1
CURTIS BAY INDUSTRIAL AREA,1
COLDSPRING,0
COLDSTREAM HOMESTEAD MONTEBELLO,0
CONCERNED CITIZENS OF FOREST PARK,0
CROSS KEYS,0
CURTIS BAY,0
CYLBURN,0
DARLEY PARK,0
DICKEYVILLE,0
DOLFIELD,0
DOWNTOWN,0
DRUID HEIGHTS,0
EAST BALTIMORE MIDWAY,0
DRUID HILL PARK,1
DUNBAR-BROADWAY,0
DUNDALK MARINE TERMINAL,1
EAST ARLINGTON,0
EDMONDSON VILLAGE,0
EDNOR GARDENS-LAKESIDE,0
ELLWOOD PARK/MONUMENT,0
EVERGREEN,0
EVERGREEN LAWN,0
FAIRFIELD AREA,1
FAIRMONT,0
FALLSTAFF,0
FEDERAL HILL,0
FELLS POINT,0
FOREST PARK,0
FOREST PARK GOLF COURSE,0
FRANKFORD,0
PANWAY/BRADDISH AVENUE,0
FRANKLIN SQUARE,0
FRANKLINTOWN,0
FRANKLINTOWN ROAD,0
GARWYN OAKS,0
GAY STREET,0
GREENMOUNT WEST,0
GLEN,0
GREEKTOWN,0
GREENMOUNT CEMETERY,1
GLEN OAKS,0
PLEASANT VIEW GARDENS,0
GLENHAM-BELHAR,0
GRACELAND PARK,0
GREENSPRING,0
GROVE PARK,0
HARWOOD,0
HAWKINS POINT,1
HERITAGE CROSSING,0
GUILFORD,0
GWYNNS FALLS,0
GWYNNS FALLS/LEAKIN PARK,1
HAMPDEN,0
HANLON-LONGWOOD,0
HOLABIRD INDUSTRIAL PARK,1
HAMILTON HILLS,0
HARLEM PARK,0
TAYLOR HEIGHTS,0
HERRING RUN PARK,1
HIGHLANDTOWN,0
HILLEN,0
HOES HEIGHTS,0
HOLLINS MARKET,0
HOMELAND,0
HUNTING RIDGE,0
HOPKINS BAYVIEW,1
HOWARD PARK,0
IDLEWOOD,0
INNER HARBOR,0
IRVINGTON,0
JOHNS HOPKINS HOMEWOOD,1
JOHNSTON SQUARE,0
JONES FALLS AREA,0
JONESTOWN,0
BAYVIEW,0
KENILWORTH PARK,0
KERNEWOOD,0
KESWICK,0
KRESSON,0
LAKE EVESHAM,0
LEVINDALE,0
LAKE WALKER,0
LAKELAND,0
LANGSTON HUGHES,0
LAURAVILLE,0
LIBERTY SQUARE,0
LITTLE ITALY,0
LOCH RAVEN,0
LOCUST POINT,0
LOCUST POINT INDUSTRIAL AREA,1
LOWER HERRING RUN PARK,1
MCELDERRY PARK,0
LOYOLA/NOTRE DAME,1
NEW SOUTHWEST/MOUNT CLARE,0
LUCILLE PARK,0
MADISON PARK,0
MADISON-EASTEND,0
MAYFIELD,0
MEDFIELD,0
MEDFORD,0
MID-GOVANS,0
MID-TOWN BELVEDERE,0
MIDDLE BRANCH/REEDBIRD PARKS,0
MIDDLE EAST,0
MIDTOWN-EDMONDSON,0
MILLHILL,0
MILTON-MONTFORD,0
MONDAWMIN,0
MONTEBELLO,0
MORAVIA-WALTHER,0
MOUNT HOLLY,0
MORGAN PARK,0
MORGAN STATE UNIVERSITY,1
MORRELL PARK,0
MOSHER,0
MOUNT VERNON,0
MOUNT WASHINGTON,0
NEW NORTHWOOD,0
NORTH HARFORD ROAD,0
TREMONT,0
NORTH ROLAND PARK/POPLAR HILL,0
NORTHWEST COMMUNITY ACTION,0
O'DONNELL HEIGHTS,0
OAKENSHAWE,0
OAKLEE,0
POPPLETON,0
OLDTOWN,0
OLIVER,0
ORANGEVILLE,0
PORT COVINGTON,0
PULASKI INDUSTRIAL AREA,1
PURNELL,0
ORANGEVILLE INDUSTRIAL AREA,1
ORIGINAL NORTHWOOD,0
OTTERBEIN,0
OVERLEA,0
PARK CIRCLE,0
PARKLANE,0
PARKSIDE,0
RADNOR-WINSTON,0
PARKVIEW/WOODBROOK,0
PATTERSON PARK,1
PATTERSON PLACE,0
PEN LUCY,0
RAMBLEWOOD,0
PENN NORTH,0
PENN-FALLSWAY,1
PENROSE/FAYETTE STREET OUTREACH,0
PERKINS HOMES,0
PERRING LOCH,0
PIMLICO GOOD NEIGHBORS,0
REISTERSTOWN STATION,0
REMINGTON,0
RESERVOIR HILL,0
RICHNOR SPRINGS,0
RIDGELY'S DELIGHT,0
RIVERSIDE,0
ROGNEL HEIGHTS,0
ROLAND PARK,0
ROSEBANK,0
ROSEMONT,0
ROSEMONT EAST,0
ROSEMONT HOMEOWNERS/TENANTS,0
SABINA-MATTFELDT,0
SAINT AGNES,0
SAINT HELENA,0
SAINT JOSEPHS,0
SAINT PAUL,0
SANDTOWN-WINCHESTER,0
SOUTH BALTIMORE,0
SETON BUSINESS PARK,1
SETON HILL,0
SHARP-LEADENHALL,0
SHIPLEY HILL,0
SOUTH CLIFTON PARK,0
SPRING GARDEN INDUSTRIAL AREA,1
STADIUM AREA,1
STONEWOOD-PENTWOOD-WINSTON,0
TEN HILLS,0
UNION SQUARE,0
UNIVERSITY OF MARYLAND,1
WOODBOURNE HEIGHTS,0
THE ORCHARDS,0
TOWANDA-GRANTLEY,0
TUSCANY-CANTERBURY,0
UPLANDS,0
UPPER FELLS POINT,0
UPTON,0
VILLAGES OF HOMELAND,0
VIOLETVILLE,0
WAKEFIELD,0
WALBROOK,0
WALTHERSON,0
WASHINGTON HILL,0
EDGEWOOD,0
WASHINGTON VILLAGE/PIGTOWN,0
WAVERLY,0
WEST ARLINGTON,0
WEST FOREST PARK,0
WEST HILLS,0
WINCHESTER,0
WESTFIELD,0
WESTGATE,0
WESTPORT,0
WILSON PARK,0
WINDSOR HILLS,0
WINSTON-GOVANS,0
WOODBERRY,0
WOODBOURNE-MCCABE,0
WOODMERE,0
WYMAN PARK,0
WYNDHURST,0
YALE HEIGHTS,0
LOWER EDMONDSON VILLAGE,0
WILHELM PARK,0
EVESHAM PARK,0
BELVEDERE,0
WRENLANE,0
YORK-HOMELAND,0
CARE,0
DOWNTOWN WEST,0
BELAIR-EDISON,0
FOUR BY FOUR,0
CHARLES VILLAGE,0
OLD GOUCHER,0
